"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Aug 16 14:13:15 EEST 2022","Tue Aug 16 14:13:15 EEST 2022","2","Surefire suite","Surefire test","tests.SearchPageTest","tests.SearchPageTest","searchForItemUsingSearchBtn","searchForItemUsingSearchBtn",""
"skipped","Tue Aug 16 14:14:31 EEST 2022","Tue Aug 16 14:14:31 EEST 2022","0","Surefire suite","Surefire test","tests.SeleniumGridRegistrationTest","tests.SeleniumGridRegistrationTest","testRegistrationPage","testRegistrationPage",""
"passed","Tue Aug 16 14:13:15 EEST 2022","Tue Aug 16 14:13:19 EEST 2022","3979","Surefire suite","Surefire test","tests.WishlistPageTest","tests.WishlistPageTest","searchForItemUsingAutoSuggession","searchForItemUsingAutoSuggession",""
"passed","Tue Aug 16 14:14:55 EEST 2022","Tue Aug 16 14:14:59 EEST 2022","3493","Surefire suite","Surefire test","tests.RegistrationPageTest","tests.RegistrationPageTest","testRegistrationPage","testRegistrationPage",""
"broken","Tue Aug 16 14:03:53 EEST 2022","Tue Aug 16 14:03:53 EEST 2022","0","Surefire suite","Surefire test","tests.ContactUsPageTest","tests.ContactUsPageTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"passed","Tue Aug 16 14:15:49 EEST 2022","Tue Aug 16 14:15:50 EEST 2022","1107","Surefire suite","Surefire test","tests.AddReviewPageTest","tests.AddReviewPageTest","addProductReview","addProductReview",""
"passed","Tue Aug 16 14:15:39 EEST 2022","Tue Aug 16 14:15:40 EEST 2022","1563","Surefire suite","Surefire test","tests.AddReviewPageTest","tests.AddReviewPageTest","testRegistrationPage","testRegistrationPage",""
"broken","Tue Aug 16 14:03:53 EEST 2022","Tue Aug 16 14:03:53 EEST 2022","1","Surefire suite","Surefire test","tests.AddToCartPageTest","tests.AddToCartPageTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"broken","Tue Aug 16 14:03:53 EEST 2022","Tue Aug 16 14:03:53 EEST 2022","0","Surefire suite","Surefire test","tests.AddToCompareListTest","tests.AddToCompareListTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"passed","Tue Aug 16 14:13:57 EEST 2022","Tue Aug 16 14:14:00 EEST 2022","2825","Surefire suite","Surefire test","tests.GuestCheckoutTest","tests.GuestCheckoutTest","downloadAndPrintInvoice","downloadAndPrintInvoice",""
"broken","Tue Aug 16 14:14:45 EEST 2022","Tue Aug 16 14:14:47 EEST 2022","2007","Surefire suite","Surefire test","tests.RegisteredUserCheckoutTest","tests.RegisteredUserCheckoutTest","downloadAndPrintInvoice","downloadAndPrintInvoice",""
"failed","Tue Aug 16 14:14:21 EEST 2022","Tue Aug 16 14:14:25 EEST 2022","4294","Surefire suite","Surefire test","tests.ChangeCurrencyTest","tests.ChangeCurrencyTest","searchForItemUsingAutoSuggession","searchForItemUsingAutoSuggession",""
"passed","Tue Aug 16 14:15:04 EEST 2022","Tue Aug 16 14:15:04 EEST 2022","700","Surefire suite","Surefire test","tests.RegistrationPageTest","tests.RegistrationPageTest","testClickingLogout","testClickingLogout",""
"passed","Tue Aug 16 14:13:37 EEST 2022","Tue Aug 16 14:13:40 EEST 2022","2986","Surefire suite","Surefire test","tests.GuestCheckoutTest","tests.GuestCheckoutTest","userCanAddToCart","userCanAddToCart",""
"passed","Tue Aug 16 14:15:37 EEST 2022","Tue Aug 16 14:15:39 EEST 2022","1949","Surefire suite","Surefire test","tests.AddToCartPageTest","tests.AddToCartPageTest","userCanClearCart","userCanClearCart",""
"skipped","Tue Aug 16 14:14:31 EEST 2022","Tue Aug 16 14:14:31 EEST 2022","0","Surefire suite","Surefire test","tests.SeleniumGridRegistrationTest","tests.SeleniumGridRegistrationTest","testClickingLogoutAgain","testClickingLogoutAgain",""
"passed","Tue Aug 16 14:14:09 EEST 2022","Tue Aug 16 14:14:13 EEST 2022","3987","Surefire suite","Surefire test","tests.EmailFriendPageTest","tests.EmailFriendPageTest","searchForItem","searchForItem",""
"broken","Tue Aug 16 14:03:52 EEST 2022","Tue Aug 16 14:03:52 EEST 2022","1","Surefire suite","Surefire test","tests.WishlistPageTest","tests.WishlistPageTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"passed","Tue Aug 16 14:16:01 EEST 2022","Tue Aug 16 14:16:03 EEST 2022","2030","Surefire suite","Surefire test","tests.MyAccountPageTest","tests.MyAccountPageTest","testChangePassword","testChangePassword",""
"broken","Tue Aug 16 14:03:53 EEST 2022","Tue Aug 16 14:03:53 EEST 2022","0","Surefire suite","Surefire test","tests.MyAccountPageTest","tests.MyAccountPageTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"passed","Tue Aug 16 14:14:30 EEST 2022","Tue Aug 16 14:14:31 EEST 2022","930","Surefire suite","Surefire test","tests.ChangeCurrencyTest","tests.ChangeCurrencyTest","userCanChangecurrencyAgain","userCanChangecurrencyAgain",""
"skipped","Tue Aug 16 14:14:31 EEST 2022","Tue Aug 16 14:14:31 EEST 2022","1","Surefire suite","Surefire test","tests.SeleniumGridRegistrationTest","tests.SeleniumGridRegistrationTest","testClickingLogout","testClickingLogout",""
"passed","Tue Aug 16 14:15:28 EEST 2022","Tue Aug 16 14:15:31 EEST 2022","2880","Surefire suite","Surefire test","tests.AddToCartPageTest","tests.AddToCartPageTest","userCanAddToCart","userCanAddToCart",""
"passed","Tue Aug 16 14:15:36 EEST 2022","Tue Aug 16 14:15:37 EEST 2022","550","Surefire suite","Surefire test","tests.AddToCartPageTest","tests.AddToCartPageTest","userCanChangeQuantity","userCanChangeQuantity",""
"passed","Tue Aug 16 14:15:06 EEST 2022","Tue Aug 16 14:15:06 EEST 2022","678","Surefire suite","Surefire test","tests.RegistrationPageTest","tests.RegistrationPageTest","testClickingLogoutAgain","testClickingLogoutAgain",""
"broken","Tue Aug 16 14:03:53 EEST 2022","Tue Aug 16 14:03:53 EEST 2022","1","Surefire suite","Surefire test","tests.AddReviewPageTest","tests.AddReviewPageTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"passed","Tue Aug 16 14:14:31 EEST 2022","Tue Aug 16 14:14:33 EEST 2022","1565","Surefire suite","Surefire test","tests.RegisteredUserCheckoutTest","tests.RegisteredUserCheckoutTest","testRegistrationPage","testRegistrationPage",""
"broken","Tue Aug 16 14:03:53 EEST 2022","Tue Aug 16 14:03:53 EEST 2022","0","Surefire suite","Surefire test","tests.RegistrationPageTest","tests.RegistrationPageTest","takeScreenshotOnFailure","takeScreenshotOnFailure",""
"passed","Tue Aug 16 14:14:42 EEST 2022","Tue Aug 16 14:14:45 EEST 2022","2993","Surefire suite","Surefire test","tests.RegisteredUserCheckoutTest","tests.RegisteredUserCheckoutTest","userCanAddToCart","userCanAddToCart",""
"passed","Tue Aug 16 14:16:11 EEST 2022","Tue Aug 16 14:16:13 EEST 2022","1971","Surefire suite","Surefire test","tests.MyAccountPageTest","tests.MyAccountPageTest","testClickingLogin","testClickingLogin",""
"passed","Tue Aug 16 14:14:00 EEST 2022","Tue Aug 16 14:14:04 EEST 2022","4097","Surefire suite","Surefire test","tests.EmailFriendPageTest","tests.EmailFriendPageTest","testRegistrationPage","testRegistrationPage",""
"passed","Tue Aug 16 14:15:06 EEST 2022","Tue Aug 16 14:15:19 EEST 2022","12487","Surefire suite","Surefire test","tests.AddToCompareListTest","tests.AddToCompareListTest","searchForItemsAndAddThemToCompareList","searchForItemsAndAddThemToCompareList",""
